narrative,roi_5y_med_pct,vol_daily_pct
AI & Tech,20.5404722933537,0.08799442983790921
Blue Chip L1s,14.669461550386352,0.1402124117953203
DeFi Protocols,-0.7940887486283715,0.06915362583330938
Emerging L1s,2.4754067714000847,0.06228236102992801
Infrastructure,15.549552952858962,0.056276612124375326
Layer 2s,15.001432605252761,0.05944788244894817
Meme & Community,7167.414703984903,0.34397871310784045
Metaverse & Gaming,4.397283094728899,0.08035357241087168
Next-Gen L1s,1.9086786849144741,0.06833670095938352
Payments & RWA,3.534478816110074,0.038691494986256736
Stablecoins,-0.00107720911674,0.00576087224366712
