"tier","n_coins","avg_roi_1y","std_roi_1y","avg_vol","avg_drawdown","avg_recovery"
"Speculative","26","1.154032137420455681","2.590727289277043708555355601138940695","0.11259100632088207844","-0.88269740619659713881","546.3750000000000000"
"Blue Chip","5","0.74606808161399185600","0.4632526688035903765459608759242061","0.14021241179532035400","-0.91324315669653970000","523.0000000000000000"
"Major","34","0.16628976801984163242","1.2104422918124663431797799181668344362919","0.08649728429492141399","-0.74130261264977608253","580.4000000000000000"
