coin,category,tier,mean_price,median_price,vol_daily,roi_1y_med,roi_3y_med,roi_5y_med,n_days,max_drawdown,recovery_days
AAVE,DeFi Protocols,Major,166.29088875013505,115.0272379,0.0594787164666596,0.1727849410402842,-0.1917581775431079,,1777,-0.9217134617699234,
ADA,Blue Chip L1s,Blue Chip,0.4942418290892544,0.351605069,0.0658042025979505,0.1570751768867448,2.66929888850229,5.872459647241607,2857,-0.9798905964925004,351.0
AERO,AI & Tech,Speculative,0.7320644003090129,0.711792564,0.0986705458081368,1.234474490803205,,,699,-0.8588592122254783,
AGIX,AI & Tech,Speculative,0.2241062652744673,0.165363923,0.1200079968871632,0.6919760183670689,2.072853030863113,12.424399048158923,2769,-0.9896307991756804,1451.0
AIOZ,AI & Tech,Speculative,0.313521630691536,0.23707999,0.0877268646041376,-0.6216702384772653,0.9473802404018004,,1595,-0.9949689505777832,
AKT,AI & Tech,Speculative,1.98852132991662,1.489435469,0.0649019172433126,0.0705856039010823,0.3216909883359665,,1763,-0.9751342393745378,
ALGO,Next-Gen L1s,Speculative,0.4634867625500667,0.267808567,0.0631946803913294,0.0720669812321169,-0.6495586380965386,-0.2194113145210561,2247,-0.9721134003771388,
APT,Emerging L1s,Speculative,7.9954690355743905,7.385447097190132,0.0571032826498761,-0.0539835941811099,,,1039,-0.7868505379944654,
ARB,Layer 2s,Major,0.919559930400685,0.8900795175,0.0497733775152529,-0.4299714980476968,,,876,-0.8835305647093121,
ATOM,Emerging L1s,Speculative,10.249634745208544,7.7164273135,0.0643361390576422,-0.2158523015755985,0.3395683102176976,0.5819796806826478,2364,-0.9177600834770616,
AVAX,Emerging L1s,Speculative,30.40445763911241,22.73798249,0.0638054144142255,0.2264900976941066,0.003921003369073,,1788,-0.934709244531005,
AXS,Metaverse & Gaming,Major,18.801647320270323,7.036548671570065,0.0731865047901439,-0.351642763065374,-0.8592422099354623,,1753,-0.9872358732143296,
BNB,Blue Chip L1s,Blue Chip,249.13448946119328,242.5556996,0.4765684915613489,0.5899087313308401,10.109111325364058,31.10599579367608,2887,-0.8338919411839668,11.0
BONK,Meme & Community,Speculative,1.4467903958333331e-05,1.47e-05,0.123735325094774,10.880530973451329,,,960,-0.947787610619469,37.0
BRETT,Meme & Community,Speculative,0.0804774982213883,0.070800401,0.145019206054796,-0.4427336625968798,,,533,-0.8850607293479062,
BTC,Blue Chip L1s,Blue Chip,21437.560391064155,8561.519329,0.0378972862832846,0.8054404858355986,3.437248894571399,13.507722402302708,4489,-0.8473121646192736,721.0
CRV,DeFi Protocols,Major,1.3020748225029433,0.8205004485681487,0.075148431872951,-0.3632143945181943,-0.7846920062668171,-0.7940887486283715,1835,-0.986349816330666,
DAI,Stablecoins,Major,1.0014142414837803,1.0001714409251623,0.0042476977586062,-0.0005381606278586,-0.0021045977484424,-0.0038660337731999,2104,-0.0864626767537473,
DOGE,Meme & Community,Major,0.0590984065583744,0.003062395,0.0936250619217036,0.2705184427356166,11.09572925434174,35.417885336059314,4257,-0.9539146067892428,746.0
DOT,Emerging L1s,Speculative,11.476066881104831,6.470892375,0.0547277705832826,-0.3339846222054279,-0.6951036886831405,,1822,-0.9417154830250438,
DUSD,Infrastructure,Speculative,0.9999852817613696,0.9999983030167516,0.0007850522673587,,,,93,-0.0060492934970282,
ENJ,Metaverse & Gaming,Major,0.4718967725280502,0.1905396217994069,0.0776588307247647,-0.149420300015127,1.4775555357830634,1.628602234820082,2844,-0.9868603473004096,
ETH,Blue Chip L1s,Blue Chip,1240.627484221725,608.2733109,0.055175109557923,0.6077903091049717,4.698672618187114,14.669461550386352,3659,-0.9421439618111142,781.0
FET,AI & Tech,Speculative,0.4875897375052988,0.270056607,0.0723316863915507,0.7582544984720668,2.1376410510296298,20.5404722933537,2359,-0.977550330440525,357.0
FLOKI,Meme & Community,Speculative,7.33316117336849e-05,3.71e-05,0.9010257766561256,1.519869541080681,2.3671129766647696,,1517,-0.988842105263158,54.0
FRAX,Stablecoins,Major,0.9992063945090112,0.9997310491481444,0.0006858171897658,,,,189,-0.0062644063374518,24.0
GALA,Metaverse & Gaming,Speculative,0.0571276609878909,0.026077535192378,0.1106483497018582,-0.0356449584267468,-0.2800948650845241,,1802,-0.9825807686337712,
GMX,DeFi Protocols,Major,35.89542315352192,33.73551864963197,0.0657084040914106,-0.2590538217773629,-0.3309180366963948,,1439,-0.8823323639103835,
HBAR,Next-Gen L1s,Speculative,0.1210679009995366,0.069185531,0.0700680451491389,0.4253819807570922,0.2483359751617766,4.036768684350005,2158,-0.9282306811222732,
ILV,Metaverse & Gaming,Major,182.4007546571457,64.57950683587725,0.0624739150430909,-0.5467803344730686,-0.9384008652003832,,1606,-0.9947764949950372,
INJ,Infrastructure,Major,12.13198726313652,9.2400352355,0.0696688007896104,0.1156742335206082,1.9418633034467647,,1758,-0.9475234757624657,517.0
JUP,DeFi Protocols,Speculative,0.7975498852206405,0.7923581885,0.0609091145848966,-0.4911513064232744,,,562,-0.8102982629583867,
KAS,Next-Gen L1s,Speculative,0.0758553212843803,0.077510858,0.0832208045191621,3.6583519764543766,213.6504722136592,,1178,-0.7170209941313659,
LDO,DeFi Protocols,Major,2.0317802285169373,1.8633480990621067,0.0881480414499956,-0.2303435007222903,-0.2724288967681594,,1691,-0.929767353472262,
LINK,Infrastructure,Major,10.334890761903033,7.544217361499999,0.0643031441879615,0.7548479209516565,1.2608104696516826,12.247698546206172,2836,-0.9013527832727029,
