tier,n_coins,mean_roi_1y,std_roi_1y,mean_vol,std_vol,mean_drawdown,std_drawdown,mean_recovery,std_recovery
Blue Chip,5,0.7460680816139919,0.5179322291015122,0.1402124117953203,0.18837210632235668,-0.9132431566965398,0.06781245448114324,523.0,335.21634805003174
Major,33,0.16628976801984163,1.2292099581600056,0.08649728429492137,0.1442408794423385,-0.7413026126497761,0.34399141163754365,580.4,606.9514349966103
Speculative,25,1.1540321374204559,2.6441499672635778,0.11259100632088202,0.1651394440011327,-0.8826974061965972,0.19475183502216145,546.375,678.6259094670642
